name35,name100
ioh_35_1_aceh,submit_gridpop22_100_aceh
ioh_35_2_bali,submit_gridpop22_100_bali
ioh_35_3_banten,submit_gridpop22_100_banten
ioh_35_4_bengkulu,submit_gridpop22_100_bengkulu
ioh_35_5_diy,submit_gridpop22_100_diy
ioh_35_6_dkijakarta,submit_gridpop22_100_dki
ioh_35_7_gorontalo,submit_gridpop22_100_gorontalo
ioh_35_8_jambi,"submit_gridpop22_100_jambi1, submit_gridpop22_100_jambi2, submit_gridpop22_100_jambi3, submit_gridpop22_100_jambi4"
ioh_35_9_jabar,"submit_gridpop22_100_jabar1, submit_gridpop22_100_jabar2, submit_gridpop22_100_jabar3"
ioh_35_10_jateng,"submit_gridpop22_100_jateng1, submit_gridpop22_100_jateng2, submit_gridpop22_100_jateng3"
ioh_35_11_jatim,"submit_gridpop22_100_jatim1, submit_gridpop22_100_jatim2, submit_gridpop22_100_jatim3, submit_gridpop22_100_jatim4"
ioh_35_12_kalbar,"submit_gridpop22_100_kalimantan_barat_i, submit_gridpop22_100_kalimantan_barat_ii, submit_gridpop22_100_kalimantan_barat_iii, submit_gridpop22_100_kalimantan_barat_iv, submit_gridpop22_100_kalimantan_barat_v"
ioh_35_13_kalsel,"submit_gridpop22_100_kalsel1, submit_gridpop22_100_kalsel23, submit_gridpop22_100_kalsel33"
ioh_35_14_kalteng,"submit_gridpop22_100_kalteng_baritoselatan, submit_gridpop22_100_kalteng_baritotimur, submit_gridpop22_100_kalteng_baritoutara, submit_gridpop22_100_kalteng_gunungmas, submit_gridpop22_100_kalteng_kapuas, submit_gridpop22_100_kalteng_katingan, submit_gridpop22_100_kalteng_kotapalangkaraya, submit_gridpop22_100_kalteng_kotawaringinbarat, submit_gridpop22_100_kalteng_kotawaringintimur, submit_gridpop22_100_kalteng_lamandau, submit_gridpop22_100_kalteng_murungraya, submit_gridpop22_100_kalteng_pulangpisau, submit_gridpop22_100_kalteng_seruyan, submit_gridpop22_100_kalteng_sukamara"
ioh_35_15_kaltim,"submit_gridpop22_100_kaltim_berau, submit_gridpop22_100_kaltim_kotabalikpapan, submit_gridpop22_100_kaltim_kotabontang, submit_gridpop22_100_kaltim_kotasamarinda, submit_gridpop22_100_kaltim_kutaibarat, submit_gridpop22_100_kaltim_kutaikartanegara, submit_gridpop22_100_kaltim_kutaitimur, submit_gridpop22_100_kaltim_mahakamulu, submit_gridpop22_100_kaltim_paser, submit_gridpop22_100_kaltim_penajampaserutara"
ioh_35_16_kaltara,"submit_gridpop22_100_kaltara_bulungan, submit_gridpop22_100_kaltara_kotatarakan, submit_gridpop22_100_kaltara_malinau, submit_gridpop22_100_kaltara_nunukan, submit_gridpop22_100_kaltara_tanatidung"
ioh_35_17_kepulauan_bangka_belitung,"submit_gridpop22_100_kepulauan_bangka_belitung_1, submit_gridpop22_100_kepulauan_bangka_belitung_2, submit_gridpop22_100_kepulauan_bangka_belitung_3, submit_gridpop22_100_kepulauan_bangka_belitung_4, submit_gridpop22_100_kepulauan_bangka_belitung_6, submit_gridpop22_100_kepulauan_bangka_belitung_7"
ioh_35_18_kepriau,submit_gridpop22_100_kep_riau
ioh_35_20_lampung,submit_gridpop22_100_lampung
